"Date/Time","City","State","Country","Shape","Duration","Summary","Posted","Image","URL","ID","madar"
"9/6/22 01:18","Huntington Beach","CA","USA","Light","Five minutes","Rapid blinking of light","10/8/22","","https://www.nuforc.org/webreports/reports/171/S171708.html","441X2022.11.14.18.04.39",FALSE
"9/6/22 01:18","Huntington Beach","CA","USA","Star","5 minutes","It came from SW Direction heading NE with wrapping flashing lights that change colors every so often.","10/8/22","","https://www.nuforc.org/webreports/reports/171/S171663.html","442X2022.11.14.18.04.39",FALSE
"9/5/22 22:30","Middletown","OH","USA","Light","30 seconds, maybe less","Incredibly bright flash, small sphere of light in distant sky streaks off","10/8/22","","https://www.nuforc.org/webreports/reports/171/S171944.html","443X2022.11.14.18.04.39",FALSE
"9/5/22 16:41","","","USA","Other","12 seconds","Unknown object flys at my drone along waterway","10/8/22","","https://www.nuforc.org/webreports/reports/172/S172221.html","444X2022.11.14.18.04.39",FALSE
"9/5/22 15:58","Mendenhall Glacier","BC","Canada","Cone","","We didnt notice these Orbs until we was looking at the pictures of our cruise to Alaska.","10/8/22","Yes","https://www.nuforc.org/webreports/reports/172/S172180.html","445X2022.11.14.18.04.39",FALSE
"9/5/22 04:41","Gardnerville","NV","USA","Cigar","45 seconds approx","Cigar shaped, translucent, moving white lights. Moving west to east on a very northern horizon. Able to take 2 photos.","10/8/22","Yes","https://www.nuforc.org/webreports/reports/171/S171674.html","446X2022.11.14.18.04.39",FALSE
"9/5/22 03:15","Newnan","","Georgia","Sphere","I saw it on the ground","I saw it flying over my car the Frist time I was going to work then the next day I saw it again that when I got my mom to come see it","10/8/22","Yes","https://www.nuforc.org/webreports/reports/171/S171740.html","447X2022.11.14.18.04.39",FALSE
"9/4/22 20:51","Creston area","BC","Canada","Disk","3-10 sec","tried to capture a mountain fire, but it was dark so I put on the flash took 2 more, flash showed the 2 objects","10/8/22","Yes","https://www.nuforc.org/webreports/reports/171/S171594.html","448X2022.11.14.18.04.39",FALSE
"9/4/22 15:30","Montara","CA","USA","Cylinder","1-2 minutes","Large cylindrical structure was seen at the top of mountain adjacent Montara State Beach area in the vicinity of Montara CA.","10/8/22","","https://www.nuforc.org/webreports/reports/171/S171911.html","449X2022.11.14.18.04.39",FALSE
"9/4/22 13:40","Albuquerque","NM","USA","Sphere","Approx. 20 seconds","Sphere and oblong shaped crafts spotted motionless a few hundred feet in the air.","10/8/22","","https://www.nuforc.org/webreports/reports/171/S171926.html","450X2022.11.14.18.04.39",FALSE
"9/4/22 02:00","Darrington","WA","USA","Star","1 hour","Light Craft","10/8/22","Yes","https://www.nuforc.org/webreports/reports/171/S171649.html","451X2022.11.14.18.04.39",FALSE
"9/4/22 00:17","Sherwood","ND","USA","Light","10 minutes","Found taking pictures of aurora borealis","10/8/22","Yes","https://www.nuforc.org/webreports/reports/172/S172139.html","452X2022.11.14.18.04.39",FALSE
"9/3/22 22:30","lincoln","VT","USA","Circle","15-20 minutes","a large glowing reddish orange circle/sphere","10/8/22","","https://www.nuforc.org/webreports/reports/171/S171660.html","453X2022.11.14.18.04.39",FALSE
"9/3/22 17:00","Hedgesville","WV","USA","Circle","Every night all night","Seen at day and night 5 bball sized orange spheres that spyed on us without lights on. Metallic softball sized spheres, large entity","10/8/22","Yes","https://www.nuforc.org/webreports/reports/171/S171640.html","454X2022.11.14.18.04.39",FALSE
"9/2/22 21:45","Cardiff","City and County of Cardiff","United Kingdom","Triangle","5min","Was low in the sky, but passed me overhead","10/8/22","","https://www.nuforc.org/webreports/reports/171/S171794.html","455X2022.11.14.18.04.39",FALSE
"9/2/22 20:40","Fairmont","WV","USA","Sphere","Roughly 3-4 seconds","Orange sphere in the sky","10/8/22","","https://www.nuforc.org/webreports/reports/171/S171746.html","456X2022.11.14.18.04.39",FALSE
